codigo_ies,sigla_ies,igc_continuo,igc_faixa
1,UFMT,3.2365176739,4
2,UNB,3.9416587126,4
3,UFS,3.3675935096,4
4,UFAM,3.0481866247,4
5,UFPI,2.9606565572,4
6,UFOP,3.5094784829,4
7,UFSCAR,4.0580920277,5
8,UFV,4.0762385574,5
9,UEL,3.7405904992,4
10,PUCPR,3.5894174027,4
11,UNICAP,2.8843684724,3
12,FURG,3.4882396168,4
13,UCS,3.0876286817,4
14,UNISINOS,3.6446330168,4
15,UCP,3.0620142047,4
17,UFU,3.7294632068,4
18,UCPEL,2.779290226,3
19,PUC-CAMPINAS,2.8613042947,3
20,UPF,2.8376188864,3
21,PUCRS,3.732016802,4
22,MACKENZIE,3.263208979,4
23,FEEVALE,3.2092469348,4
24,UESC,3.4206341115,4
27,UNINCOR,2.7375904144,3
29,UECE,3.0310106288,4
30,UNIFENAS,3.3768842509,4
32,UNCISAL,2.6809485473,3
33,FATEC SO,2.8930832097,3
34,FATEC-SP,2.7685165827,3
35,FATEC-AM,2.863265466,3
36,FATEC-BS,2.6906204771,3
37,FATEC-JAHU,2.4073636713,3
40,UNEB,2.993705239,4
43,UDESC,3.5556538507,4
47,UEG,2.547987288,3
54,UNICAMP,4.424982563,5
56,UNESP,4.100281786,5
57,UEM,3.6485012346,4
58,FDSBC,2.600771631,3
59,FDF,2.803781244,3
60,UNI-FACEF,2.9343006037,3
67,EEP/FUMEP,2.5563539875,3
68,FAFIPE,2.6141218727,3
71,UERN,2.8955271787,3
73,CESA,1.7502512716,2
74,FFCL,1.3801585516,2
76,FURB,3.0126326294,4
77,FERLAGOS,3.4654895923,4
78,FAFIA,1.8634431448,2
79,IMES CATANDUVA,2.0803054508,3
80,UNIDAVI,3.2127278546,4
81,UNIVILLE,2.8242194191,3
82,UNOESC,2.9997196586,4
83,UNIVALI,3.157609079,4
84,FAFIMA,2.4644066256,3
87,UNIFEBE,2.7491439927,3
93,FMJ,3.3457631663,4
95,UVA,2.3740962369,3
99,FDCL,1.852767273,2
107,UFSJ,3.4412886432,4
109,FIRB,2.515727432,3
124,UNIARA,2.6972667356,3
125,UNAR,2.3162330543,3
126,INATEL,3.1607171098,4
131,FAEFI,1.513165602,2
135,CEUCLAR,2.9524380949,4
137,USC,3.429379579,4
138,CBM,2.7660460492,3
139,FCETM,2.4519123368,3
140,,3.2075654299,4
141,FADIVA,2.182076519,3
142,UNITRI,2.1773376384,3
143,UNIUBE,2.4492882165,3
144,FACHO,2.6806779839,3
146,UNIRP,2.4465851532,3
149,FAMERP,3.9468602991,5
150,UNISO,2.7916809012,3
151,FGV-EAESP,4.0284827893,5
152,FACIC,2.409514965,3
158,CBM-UniCBE,1.8416020317,2
159,FAFICA,2.4177162134,3
160,FAFIRE,2.564485371,3
161,UNIFAI,2.5537156426,3
162,FEBASP,2.7602312633,3
163,UNESA,2.7008170926,3
165,UVA,3.0304908106,4
166,,2.7133205649,3
167,UMESP,2.5806300672,3
170,FAFEM,1.739002493,2
171,FDSM,3.3031845274,4
176,UCB,2.4939765756,3
190,EMSM,2.582341346,3
191,FCCAE,2.7728478915,3
192,FFCLSM,2.015372403,3
193,FESM,2.5082923104,3
194,EEFTESM,2.6638252172,3
195,,3.1964160406,4
197,FESPPR,2.318892086,3
200,FCL,2.8809673059,3
202,,1.3805565216,2
203,USJT,3.3388358506,4
206,UNIÍTALO,2.6980481517,3
207,CUML,2.844480698,3
208,UNAERP,3.2748935674,4
213,FECAP,3.5163716241,4
214,FEAMIG,2.1537758136,3
216,CEUNIH,2.6172196356,3
217,UNIFAE,2.9391092804,3
219,FAECA DOM BOSCO,2.2743486413,3
220,FSJT,2.368525635,3
221,UNICSUL,3.0601025437,4
222,UNIFEV,2.7853882508,3
224,CUSABC,3.1473832096,4
225,,2.2767106595,3
226,UNILUS,2.8113246289,3
227,UNISANTOS,3.2748675869,4
231,FASB I,2.6572764067,3
234,FOC,2.8798125719,3
240,USU,2.454718964,3
242,UNIA,1.9487193763,3
243,FCNM,2.8463007343,3
244,UNIFIEO,1.9851311713,3
254,,2.2273585066,3
255,FEAP,1.220730535,2
263,FICS,2.2442130842,3
265,Unifio,3.2011036096,4
266,UNIMEP,2.9149177407,3
267,,3.7816448112,4
269,FACCAT,1.7633531395,2
270,,2.051443744,3
271,UNOESTE,3.368064999,4
275,UNIVAP,2.7553561363,3
276,FADI,2.421040793,3
277,UNISUAM,2.5850031316,3
278,FIS,2.370388206,3
279,FACHA,2.2955771478,3
284,FMIT,2.5632794359,3
288,FADIVALE,2.280793471,3
294,SETREM,2.6426109335,3
295,UNISC,3.2522862656,4
296,,2.6736538567,3
298,,2.4763217118,3
299,FAFIJAN,2.3755769848,3
302,FACED,2.9498952397,4
307,FAME,2.7982622452,3
308,UNIPAC,2.2324443021,3
316,UNINOVE,3.0030158002,4
319,,2.0940171514,3
322,UNIP,2.7024148076,3
330,UNIG,2.6186845796,3
336,FMS,2.4227782021,3
337,CES/JF,2.3469717086,3
338,PUC MINAS,3.1651744828,4
339,,1.4710899159,2
343,NEWTON PAIVA,2.8934443555,3
344,UNA,3.1565779889,4
345,EEK,2.906467295,3
346,ISCA,2.2796109584,3
349,UNI-BH,3.2526762139,4
351,FCMMG,3.2965082494,4
352,UNIPÊ,3.0642826342,4
353,FEMPAR,1.7610487203,2
355,UTP,3.3032262175,4
360,UNIPAULISTANA,2.6371978664,3
361,FAPSS,2.381113167,3
362,FAPSS-SP.,2.766995462,3
363,FAMOSP,2.1362039424,3
367,UNIMONTES,2.8968376564,3
368,FEFISO,2.827485759,3
370,FPA,2.291237126,3
371,FMCG,1.828857672,2
373,ESP,3.133702328,4
374,FMU,2.6400713267,3
375,UNISA,2.8282884374,3
376,,2.3203672468,3
383,UNAMA,2.724009929,3
384,UNIEVANGÉLICA,3.3658983888,4
385,UNIFACS,3.1393963079,4
386,UNI-ANHANGÜERA,2.6957099487,3
387,UCDB,2.9795266867,4
396,UniRuy Wyden,2.6806493264,3
398,UNIT,2.8196847145,3
402,UNICEUB,2.9095751108,3
403,UCB,3.6903250134,4
404,UPIS,2.3731783934,3
405,FOCCA,2.4898928944,3
409,UPE,2.918965968,3
410,FCHE,2.8158994557,3
415,FCMSCSP,3.9597953078,5
416,FASP,2.1012468788,3
417,UNICID,2.9661345261,4
420,UNIMAR,3.3214044194,4
423,URI,2.7874109698,3
426,UFN,3.3559920019,4
430,UNIFIL,2.6951412828,3
431,FAMEMA,3.5040046817,4
432,FACCAR,2.0838820832,3
434,FASM,2.1752640544,3
435,FASM,2.0692228683,3
437,UNIPAR,2.4893191082,3
438,FFCL,2.4806281752,3
439,FAFRAM,2.3346533963,3
440,FADITU,2.176396256,3
441,UNC,2.4526689293,3
446,UNICRUZ,2.5794941673,3
448,UNIRITTER,2.8879302743,3
449,ULBRA,2.8313113958,3
450,UniSL - Ji-Paraná,2.9280583376,3
451,CEULS,2.1928368061,3
452,CEULM/ULBRA,2.6618486025,3
453,CEULP,3.0372861335,4
454,FACCCA,2.3609968941,3
456,UNISANT'ANNA,2.6944962468,3
457,UNIAN - SP,2.2739774647,3
458,UNIB,2.6207155008,3
461,FA-FAAP,2.4447486911,3
466,UAM,3.0529135748,4
472,UNIGRANRIO,3.1603077407,4
473,FCEACDB,2.9087847088,3
474,FFCLDB,2.2739256914,3
475,FMP,2.1863729089,3
480,UNIFESO,2.5620141632,3
481,Univeritas UNG,2.5937146743,3
482,UNESC,2.746562196,3
483,UNIMESP,2.06844002,3
489,UNIFOA,3.298272593,4
490,CESVA,3.6060957011,4
491,FECLE,2.4506889949,3
493,FACEG,1.774718255,2
494,UNISUL,2.8689635149,3
495,FESB,1.939173851,2
496,UNIFRAN,2.8857937937,3
501,EMESCAM,2.6604099671,3
502,CSJT,3.2252422224,4
506,FMC,2.4391620409,3
507,FTM,2.5243339375,3
508,FACESM,2.302828163,3
510,,2.5623434132,3
513,UNIVALE,2.1514675493,3
514,UBM,2.1432416689,3
515,UNIAN-RJ,2.2097409409,3
516,UNIRJ,1.7514638881,2
517,FESL,2.4570581488,3
518,UDF,3.1554475453,4
519,UCSAL,2.4721279217,3
521,UMC,2.7233210125,3
522,UCL,2.4970027649,3
526,,2.9852648743,4
527,PUC GOIÁS,2.7191438319,3
528,PUC-RIO,3.844542617,4
530,FAMES,1.74427537,2
532,UNIJUI,3.1894751084,4
533,FII,2.2228295162,3
534,EBMSP,3.1758879482,4
535,FAFIMAN,2.0898036237,3
544,FACHI,2.230263051,3
545,FACCI,2.3142787468,3
546,PUCSP,3.7260613414,4
547,UERJ,3.7133354228,4
548,UFMA,3.2347279416,4
549,UFAC,2.8568663339,3
550,UEPB,2.9092799887,3
554,FAFIBE,2.9055898213,3
555,UNIFOR,3.2041308624,4
568,UEMA,2.4736831194,3
569,UFPA,3.3902933987,4
